Epoch 2/20 — Train: 0.2519 | Val: 0.2540
Epoch 3/20 — Train: 0.2519 | Val: 0.2540
Epoch 4/20 — Train: 0.2519 | Val: 0.2540
Epoch 5/20 — Train: 0.2519 | Val: 0.2540
Epoch 6/20 — Train: 0.2519 | Val: 0.2540
Epoch 7/20 — Train: 0.2519 | Val: 0.2540
Epoch 8/20 — Train: 0.2519 | Val: 0.2540
Epoch 9/20 — Train: 0.2519 | Val: 0.2540
Epoch 10/20 — Train: 0.2519 | Val: 0.2540
Epoch 11/20 — Train: 0.2519 | Val: 0.2540
Epoch 12/20 — Train: 0.2519 | Val: 0.2540
Epoch 13/20 — Train: 0.2519 | Val: 0.2540
Epoch 14/20 — Train: 0.2519 | Val: 0.2540
Epoch 15/20 — Train: 0.2519 | Val: 0.2540
Epoch 16/20 — Train: 0.2519 | Val: 0.2540
Epoch 17/20 — Train: 0.2519 | Val: 0.2540
Epoch 18/20 — Train: 0.2519 | Val: 0.2540
Epoch 19/20 — Train: 0.2519 | Val: 0.2540
Epoch 20/20 — Train: 0.2519 | Val: 0.2540
Testing size=(96, 96), lr=0.001, bs=16, epochs=10
Epoch 1/10 — Train: 0.0124 | Val: 0.0096
Epoch 2/10 — Train: 0.0044 | Val: 0.0044
Epoch 3/10 — Train: 0.0041 | Val: 0.0044
Epoch 4/10 — Train: 0.0046 | Val: 0.0054
Epoch 5/10 — Train: 0.0045 | Val: 0.0037
Epoch 6/10 — Train: 0.0039 | Val: 0.0042
Epoch 7/10 — Train: 0.0040 | Val: 0.0034
Epoch 8/10 — Train: 0.0038 | Val: 0.0037
Epoch 9/10 — Train: 0.0039 | Val: 0.0036
Epoch 10/10 — Train: 0.0039 | Val: 0.0094
Testing size=(96, 96), lr=0.001, bs=16, epochs=20
Epoch 1/20 — Train: 0.0186 | Val: 0.0042
Epoch 2/20 — Train: 0.0043 | Val: 0.0041
Epoch 3/20 — Train: 0.0041 | Val: 0.0037
Epoch 4/20 — Train: 0.0041 | Val: 0.0046
Epoch 5/20 — Train: 0.0044 | Val: 0.0061
Epoch 6/20 — Train: 0.0041 | Val: 0.0037
 
Epoch 7/20 — Train: 0.0040 | Val: 0.0037
Epoch 8/20 — Train: 0.0040 | Val: 0.0036
Epoch 9/20 — Train: 0.0039 | Val: 0.0062
Epoch 10/20 — Train: 0.0043 | Val: 0.0050
Epoch 11/20 — Train: 0.0038 | Val: 0.0077
Epoch 12/20 — Train: 0.0040 | Val: 0.0037
Epoch 13/20 — Train: 0.0039 | Val: 0.0038
Epoch 14/20 — Train: 0.0039 | Val: 0.0034
Epoch 15/20 — Train: 0.0036 | Val: 0.0036
Epoch 16/20 — Train: 0.0036 | Val: 0.0037
Epoch 17/20 — Train: 0.0036 | Val: 0.0032
Epoch 18/20 — Train: 0.0038 | Val: 0.0041
Epoch 19/20 — Train: 0.0037 | Val: 0.0043
Epoch 20/20 — Train: 0.0037 | Val: 0.0034
Testing size=(96, 96), lr=0.001, bs=32, epochs=10
Epoch 1/10 — Train: 0.0237 | Val: 0.0068
Epoch 2/10 — Train: 0.0047 | Val: 0.0041
Epoch 3/10 — Train: 0.0043 | Val: 0.0037
Epoch 4/10 — Train: 0.0043 | Val: 0.0060
Epoch 5/10 — Train: 0.0045 | Val: 0.0046
Epoch 6/10 — Train: 0.0041 | Val: 0.0037
Epoch 7/10 — Train: 0.0041 | Val: 0.0036
Epoch 8/10 — Train: 0.0039 | Val: 0.0035
Epoch 9/10 — Train: 0.0040 | Val: 0.0037
Epoch 10/10 — Train: 0.0042 | Val: 0.0080
Testing size=(96, 96), lr=0.001, bs=32, epochs=20
Epoch 1/20 — Train: 0.0313 | Val: 0.0059
Epoch 2/20 — Train: 0.0051 | Val: 0.0042
Epoch 3/20 — Train: 0.0042 | Val: 0.0063
Epoch 4/20 — Train: 0.0044 | Val: 0.0038
Epoch 5/20 — Train: 0.0041 | Val: 0.0037
Epoch 6/20 — Train: 0.0041 | Val: 0.0038
Epoch 7/20 — Train: 0.0042 | Val: 0.0043
Epoch 8/20 — Train: 0.0042 | Val: 0.0037
Epoch 9/20 — Train: 0.0039 | Val: 0.0048
Epoch 10/20 — Train: 0.0044 | Val: 0.0041
Epoch 11/20 — Train: 0.0040 | Val: 0.0035
Epoch 12/20 — Train: 0.0037 | Val: 0.0037
 
Epoch 13/20 — Train: 0.0037 | Val: 0.0039
Epoch 14/20 — Train: 0.0038 | Val: 0.0071
Epoch 15/20 — Train: 0.0038 | Val: 0.0041
Epoch 16/20 — Train: 0.0038 | Val: 0.0033
Epoch 17/20 — Train: 0.0036 | Val: 0.0032
Epoch 18/20 — Train: 0.0038 | Val: 0.0034
Epoch 19/20 — Train: 0.0037 | Val: 0.0037
Epoch 20/20 — Train: 0.0036 | Val: 0.0042
Testing size=(96, 96), lr=0.0001, bs=16, epochs=10
Epoch 1/10 — Train: 0.0429 | Val: 0.0063
Epoch 2/10 — Train: 0.0049 | Val: 0.0046
